SMILES,Kinetic solubility in PBS (uM),logS
O=S(=O)(Nc1nc(C(Cl)(Cl)Cl)nc2ccccc12)c1ccccc1F,178.8813862454455,-3.7474348482054842
O=C(O)CCC12CCCCC1=Nc1ccccc12,178.845472387287,-3.7475220498796
OCCCc1[nH]c2ccccc2c1CCO,178.5754255308325,-3.7481783063134735
O=C(O)C1CCCN(C(=O)c2ccccc2)C1,178.543311600462,-3.7482564142441954
COc1cc(OC)cc(C2=NOC3(C2)OC(CO)C(O)C(O)C3O)c1,178.487436514726,-3.7483923478674885
C#CCC1(O)CCCCC1C[N+](C)(C)C,178.4580132349585,-3.7484639463040588
N#CCN(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(N)cc1,178.116804999005,-3.7492951037033264
O=C(c1cccs1)c1ccc(OCC(O)CO)c(Cl)c1Cl,177.964467235433,-3.7496667011969325
O=C1CC(c2ccccc2)n2cccc21,177.9615393750345,-3.74967384624164
O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccc(Br)cc1,177.8891606536175,-3.7498505140393963
c1cnc2c(c1)nc(OCCCN1CCCCC1)c1cccn12,177.7628289082035,-3.75015904700893
O=C(NN(C(=O)c1ccccc1)c1ccccc1)c1ccc(Br)cc1,177.3164081893685,-3.7512510745717575
O=C1c2ccc(Cl)c(Cl)c2CC1NC(=O)C(F)(F)F,177.23615577803798,-3.7514476783114428
Cc1ccc2nc(NC(C)C)nc(=O)n2c1,177.168393796903,-3.7516137521097823
CCOC(=O)c1c(C2=NC(C)(C)CO2)ccnc1Cl,177.1232764950645,-3.751724362643282
Cc1[nH]ccc1C(=O)NN=Cc1ccc([N+](=O)[O-])o1,176.9083398055445,-3.752251693115408
O=c1[nH]c2ccccc2cc1N1CCCCC1,176.3714009484965,-3.753571835401484
CCCCCCCCCCCCC1CCC(O)C(CO)N1C,176.3157667771585,-3.7537088498212237
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,175.9696087591015,-3.754562331549004
COc1cc(C(=C2OC(C(O)CO)C3OC(C)(C)OC23)c2cccc(N)c2)cc(OC)c1OC,175.90169684252749,-3.754729971083801
COC1CC(=O)NC(CC(C)C)COC(OC)CC(=O)NC(CC(C)C)CO1,175.766023293723,-3.7550650730743196
CC(C)(C)c1ccc(C2C(C(=O)c3ccco3)=C(O)C(=O)N2c2nnc(S(C)(=O)=O)s2)cc1,175.70142626770098,-3.755224713076827
CN1c2ccccc2C(NCCc2ccc(O)cc2)c2ccccc2S1(=O)=O,175.539121937182,-3.7556260783549003
CCOC(=O)NC(=Nc1ccc(I)cc1)N(CC)CC,175.5385067415365,-3.755627600389073
O=[N+]([O-])c1cccc2[nH]cnc12,175.096170659206,-3.7567233518021137
O=C(C[n+]1cc(-c2ccc(-c3ccccc3)cc2)n2c1CCCCC2)c1ccc(N2CCCC2)cc1,174.9466836202665,-3.7570942858136522
CCCC(=NOCCN(CC)CC)c1ccc(F)cc1,174.72234814143252,-3.7576515423337917
O=C(O)CCn1c(=O)oc2cc([N+](=O)[O-])c([N+](=O)[O-])cc21,174.6981065116975,-3.7577118021491684
COc1ccc2c(c1)nc(OCCCN1CCCC1)c1cccn12,174.237049643606,-3.758859491435579
Ic1c(-c2ccccc2)nc2ncccn12,174.20488851084252,-3.7589396620522653
Cn1nc(C2CC2)c2c(O)cc(=O)[nH]c21,173.853413485791,-3.7598167778395695
Cc1ccc2nc(NC3CCCCC3)nc(=O)n2c1,172.9801990681915,-3.7620036074352976
COc1ccc(C=CC(=O)N2CCOCC2)cc1OC,172.961857033593,-3.762049660491178
CCS(=O)CC1CCC(n2cc(C)c(=O)[nH]c2=O)O1,172.6540880503145,-3.7628231341018177
CCCCN1CCC(CNc2nc3ccsc3n3cccc23)CC1,172.49521902942098,-3.763222937564127
N#Cc1cccc2cnccc12,172.481286891732,-3.763258016187853
O=C(NCc1ccsc1-n1cccc1)N1CCCCC1,172.469186227167,-3.7632884857900692
O=C(O)C=Cc1ccc2c(c1)CCCC2,172.41287136591052,-3.7634303153411968
